Zip Code,Location,Building type (service class),Consumption (kWh),Consumption (GJ),Utility/Data Source
10305,"(40.596184688172855, -74.07507238488262)",Large Residential,14011,50,ConEd
10306,"(40.56602048965391, -74.11994566905736)",Large Residential,9738,35,ConEd
10308,"(40.552935295427574, -74.15130275981448)",Large Residential,114989,414,ConEd
10309,"(40.530393118347774, -74.21893861432557)",Large Residential,217707,784,ConEd
10310,"(40.632789000212256, -74.11645860538027)",Large Residential,229402,826,ConEd
10312,"(40.54295597733653, -74.18037681723627)",Large Residential,35133,126,ConEd
10314,"(40.59649030298516, -74.16599111879503)",Large Residential,393459,1416,ConEd
10451,"(40.82069640711353, -73.92384136798472)",Large Residential,10066340,36239,ConEd
10453,"(40.852786838341956, -73.91342678431863)",Large Residential,25330952,91191,ConEd
10457,"(40.84579837129786, -73.89832418681175)",Large Residential,21058949,75812,ConEd
10458,"(40.86260132868841, -73.88479001504714)",Large Residential,6468906,23288,ConEd
10460,"(40.84309034804119, -73.87860282506028)",Large Residential,26222015,94399,ConEd
10461,"(40.846960590359004, -73.840632836736)",Large Residential,13487,49,ConEd
10465,"(40.827628067581315, -73.82241314135337)",Large Residential,1023,4,ConEd
10467,"(40.8770479121315, -73.87153250082423)",Large Residential,470,2,ConEd
10471,"(40.90199442310421, -73.9036265005625)",Large Residential,3082705,11098,ConEd
11101,"(40.74570244980828, -73.93866902925225)",Large Residential,678,2,ConEd
11102,"(40.77152402451418, -73.92643545073543)",Large Residential,1208448,4350,ConEd
11104,"(40.74489336663561, -73.92054134530679)",Large Residential,69379,250,ConEd
11106,"(40.761699790013324, -73.9316632529567)",Large Residential,39441,142,ConEd
11201,"(40.69467825879468, -73.98992086835335)",Large Residential,1994318,7180,ConEd
11206,"(40.70191201682616, -73.94237919854112)",Large Residential,4490925,16167,ConEd
11207,"(40.670802431187326, -73.89384115004901)",Large Residential,193630,697,ConEd
11209,"(40.62338709723679, -74.03065295347096)",Large Residential,516106,1858,ConEd
11212,"(40.66279716995348, -73.91298489433734)",Large Residential,17555801,63201,ConEd
11213,"(40.67122516920625, -73.93644336636822)",Large Residential,2540460,9146,ConEd
11215,"(40.665557251366124, -73.97968153557434)",Large Residential,181288,653,ConEd
11224,"(40.576304656334855, -73.99953200040147)",Large Residential,5592411,20133,ConEd
11233,"(40.67813043816926, -73.91977647550391)",Large Residential,5606065,20182,ConEd
11236,"(40.64002149379695, -73.90112193992553)",Large Residential,359670,1295,ConEd
11237,"(40.704095739826585, -73.92099423399668)",Large Residential,56359,203,ConEd
11354,"(40.76862022064671, -73.82719028070687)",Large Residential,3498521,12595,ConEd
11355,"(40.7512997969481, -73.82147854789662)",Large Residential,146103,526,ConEd
11358,"(40.760350968822195, -73.79632645819947)",Large Residential,7021,25,ConEd
11360,"(40.78070133439911, -73.78226733686807)",Large Residential,23541,85,ConEd
11361,"(40.76418884813688, -73.77232552860022)",Large Residential,4106,15,ConEd
11365,"(40.73987184371066, -73.79462153515567)",Large Residential,3808667,13711,ConEd
11367,"(40.730323085042414, -73.82610630716033)",Large Residential,1661537,5982,ConEd
11368,"(40.749678220373596, -73.85304068857687)",Large Residential,1110655,3998,ConEd
11372,"(40.75163073936716, -73.88361254528269)",Large Residential,11583,42,ConEd
11373,"(40.73871040256307, -73.87835115518163)",Large Residential,24463,88,ConEd
11375,"(40.720707263029794, -73.84628429608335)",Large Residential,4553242,16392,ConEd
11379,"(40.71679766547993, -73.87933421310339)",Large Residential,3763,14,ConEd
11422,"(40.66161349396765, -73.736051726406)",Large Residential,31576,114,ConEd
10475,"(40.874142343794176, -73.82706856556183)",Large Residential,35308975,127112,ConEd
10001,"(40.75025902143676, -73.99688630375988)",Large Residential,8549105,30777,ConEd
10002,"(40.71612146793143, -73.98583147024613)",Large Residential,80744585,290681,ConEd
10009,"(40.72664935898081, -73.97911148500697)",Large Residential,2141768,7710,ConEd
10011,"(40.74471526669623, -74.00460000028977)",Large Residential,7847383,28251,ConEd
10016,"(40.745242969987146, -73.97823298586354)",Large Residential,3869690,13931,ConEd
10019,"(40.76761164715987, -73.99180550022362)",Large Residential,2400447,8642,ConEd
10021,"(40.76920532766377, -73.959183941086)",Large Residential,827127,2978,ConEd
10023,"(40.774536138232236, -73.97994335610099)",Large Residential,8578585,30883,ConEd
10024,"(40.78362556816552, -73.96653900057436)",Large Residential,5229736,18827,ConEd
10025,"(40.79685012763133, -73.96372581059762)",Large Residential,24078305,86682,ConEd
10026,"(40.80305812163505, -73.95334277604826)",Large Residential,11781171,42412,ConEd
10027,"(40.811549564460904, -73.95290033568193)",Large Residential,33627306,121058,ConEd
10029,"(40.79161072055837, -73.94403228106489)",Large Residential,87035663,313328,ConEd
10030,"(40.81843517604261, -73.94276530357587)",Large Residential,10302662,37090,ConEd
10031,"(40.82495420507257, -73.9501244360938)",Large Residential,1519299,5469,ConEd
10032,"(40.83693034905639, -73.94917852197119)",Large Residential,2309399,8314,ConEd
10034,"(40.8706171092922, -73.9242232587963)",Large Residential,8428800,30344,ConEd
10035,"(40.79381703542788, -73.91931750020245)",Large Residential,20588773,74120,ConEd
10037,"(40.81329776108288, -73.93728252556804)",Large Residential,9506087,34222,ConEd
10038,"(40.70935929189784, -74.00307186237649)",Large Residential,13678342,49242,ConEd
10039,"(40.82668192862815, -73.93777090780111)",Large Residential,25922809,93322,ConEd
10128,"(40.781770000585084, -73.95062814906976)",Large Residential,8312136,29924,ConEd
10301,"(40.62678550844453, -74.09611291088208)",Large Residential,6524345,23488,ConEd
10303,"(40.633032309993155, -74.16834884981955)",Large Residential,5402423,19449,ConEd
10304,"(40.59122944258473, -74.1113280000871)",Large Residential,6286000,22630,ConEd
10305,"(40.596184688172855, -74.07507238488262)",Large Residential,3841849,13831,ConEd
10306,"(40.56602048965391, -74.11994566905736)",Large Residential,3908213,14070,ConEd
10310,"(40.632789000212256, -74.11645860538027)",Large Residential,5329786,19187,ConEd
10314,"(40.59649030298516, -74.16599111879503)",Large Residential,3774675,13589,ConEd
10451,"(40.82069640711353, -73.92384136798472)",Large Residential,35934924,129366,ConEd
10452,"(40.83772426336412, -73.9233322114124)",Large Residential,5519977,19872,ConEd
10453,"(40.852786838341956, -73.91342678431863)",Large Residential,5769976,20772,ConEd
10454,"(40.805846930091775, -73.91628504651766)",Large Residential,40835953,147009,ConEd
10455,"(40.813535754971156, -73.9053552520432)",Large Residential,20493537,73777,ConEd
10456,"(40.8304366800088, -73.9077651995043)",Large Residential,51521970,185479,ConEd
10457,"(40.84579837129786, -73.89832418681175)",Large Residential,7886716,28392,ConEd
10459,"(40.82552621616202, -73.89313106784448)",Large Residential,1701194,6124,ConEd
10460,"(40.84309034804119, -73.87860282506028)",Large Residential,2754080,9915,ConEd
10461,"(40.846960590359004, -73.840632836736)",Large Residential,955809,3441,ConEd
10462,"(40.84225833665295, -73.85799663293824)",Large Residential,855857,3081,ConEd
10463,"(40.88187196282087, -73.91120748054078)",Large Residential,15687806,56476,ConEd
10465,"(40.827628067581315, -73.82241314135337)",Large Residential,12939876,46584,ConEd
10466,"(40.89080973018497, -73.84600906306775)",Large Residential,18275895,65793,ConEd
10467,"(40.8770479121315, -73.87153250082423)",Large Residential,12824710,46169,ConEd
10469,"(40.86818180274804, -73.84656868779467)",Large Residential,14468543,52087,ConEd
10472,"(40.829730432513486, -73.87013213139272)",Large Residential,21719404,78190,ConEd
10473,"(40.81773147093071, -73.86053700008245)",Large Residential,42927745,154540,ConEd
10475,"(40.874142343794176, -73.82706856556183)",Large Residential,4531593,16314,ConEd
11101,"(40.74570244980828, -73.93866902925225)",Large Residential,18729762,67427,ConEd
11102,"(40.77152402451418, -73.92643545073543)",Large Residential,9292791,33454,ConEd
11106,"(40.761699790013324, -73.9316632529567)",Large Residential,15263317,54948,ConEd
11201,"(40.69467825879468, -73.98992086835335)",Large Residential,10185715,36669,ConEd
11203,"(40.649721601170995, -73.93427608567276)",Large Residential,942050,3391,ConEd
11205,"(40.693882095282504, -73.96433450773128)",Large Residential,24148531,86935,ConEd
11206,"(40.70191201682616, -73.94237919854112)",Large Residential,60727273,218618,ConEd
11207,"(40.670802431187326, -73.89384115004901)",Large Residential,29924155,107727,ConEd
11208,"(40.67401318266229, -73.87206493005243)",Large Residential,22023518,79285,ConEd
11211,"(40.711589765255496, -73.95817675075642)",Large Residential,22797681,82072,ConEd
11212,"(40.66279716995348, -73.91298489433734)",Large Residential,53542117,192752,ConEd
11213,"(40.67122516920625, -73.93644336636822)",Large Residential,10275934,36993,ConEd
11216,"(40.680758670876, -73.94926775090596)",Large Residential,6954863,25038,ConEd
11217,"(40.68231210132245, -73.97956718857483)",Large Residential,14571954,52459,ConEd
11221,"(40.69128803951145, -73.92761792792498)",Large Residential,9796290,35267,ConEd
11223,"(40.596939623165156, -73.97331147204676)",Large Residential,13443113,48395,ConEd
11224,"(40.576304656334855, -73.99953200040147)",Large Residential,39804351,143296,ConEd
11229,"(40.60123350732056, -73.94436854117521)",Large Residential,14436352,51971,ConEd
11231,"(40.6775543117821, -74.00467670436637)",Large Residential,20082337,72296,ConEd
11233,"(40.67813043816926, -73.91977647550391)",Large Residential,15939060,57381,ConEd
11234,"(40.61636866748006, -73.92773224974349)",Large Residential,7592892,27334,ConEd
11236,"(40.64002149379695, -73.90112193992553)",Large Residential,22953979,82634,ConEd
11238,"(40.67886241346963, -73.9638204696389)",Large Residential,4030016,14508,ConEd
11354,"(40.76862022064671, -73.82719028070687)",Large Residential,5453208,19632,ConEd
11356,"(40.7849280967543, -73.84181070040347)",Large Residential,67740,244,ConEd
11365,"(40.73987184371066, -73.79462153515567)",Large Residential,14658673,52771,ConEd
11375,"(40.720707263029794, -73.84628429608335)",Large Residential,3331976,11995,ConEd
11377,"(40.74519376448069, -73.9048471440804)",Large Residential,6783955,24422,ConEd
11433,"(40.698104881734935, -73.7875740339145)",Large Residential,7977441,28719,ConEd
11434,"(40.6769452621142, -73.77530690169215)",Large Residential,3326210,11974,ConEd
11206,"(40.70191201682616, -73.94237919854112)",Large Residential,7247474,26091,ConEd
10001,"(40.75025902143676, -73.99688630375988)",Small Residential,36076135,129874,ConEd
10002,"(40.71612146793143, -73.98583147024613)",Small Residential,58727641,211420,ConEd
10003,"(40.73194394755518, -73.98887214913032)",Small Residential,117379903,422568,ConEd
10004,"(40.688827825343935, -74.01911250583743)",Small Residential,5366762,19320,ConEd
10005,"(40.7061257920717, -74.00858468583453)",Small Residential,5991449,21569,ConEd
10006,"(40.70825614030866, -74.01355356964149)",Small Residential,7257941,26129,ConEd
10007,"(40.71363051943297, -74.00913138370635)",Small Residential,19341211,69628,ConEd
10009,"(40.72664935898081, -73.97911148500697)",Small Residential,54310134,195516,ConEd
10010,"(40.73914078212147, -73.98289845639863)",Small Residential,49568771,178448,ConEd
10011,"(40.74471526669623, -74.00460000028977)",Small Residential,115387143,415394,ConEd
10012,"(40.72553802086304, -73.99789641059084)",Small Residential,60324317,217168,ConEd
10013,"(40.721242188776046, -74.00888900022716)",Small Residential,72660460,261578,ConEd
10014,"(40.73358645135369, -74.01019960472792)",Small Residential,83061857,299023,ConEd
10016,"(40.745242969987146, -73.97823298586354)",Small Residential,117958339,424650,ConEd
10017,"(40.75245652744684, -73.97297648087982)",Small Residential,32039679,115343,ConEd
10018,"(40.756840774582145, -73.99669149981281)",Small Residential,17636593,63492,ConEd
10019,"(40.76761164715987, -73.99180550022362)",Small Residential,88133949,317282,ConEd
10021,"(40.76920532766377, -73.959183941086)",Small Residential,123062969,443027,ConEd
10022,"(40.758630224005685, -73.96809182217982)",Small Residential,85250414,306901,ConEd
10023,"(40.774536138232236, -73.97994335610099)",Small Residential,133680650,481250,ConEd
10024,"(40.78362556816552, -73.96653900057436)",Small Residential,129245232,465283,ConEd
10025,"(40.79685012763133, -73.96372581059762)",Small Residential,144082146,518696,ConEd
10026,"(40.80305812163505, -73.95334277604826)",Small Residential,47146964,169729,ConEd
10027,"(40.811549564460904, -73.95290033568193)",Small Residential,59309495,213514,ConEd
10028,"(40.776344978837756, -73.95296667956859)",Small Residential,121953330,439032,ConEd
10029,"(40.79161072055837, -73.94403228106489)",Small Residential,50382250,181376,ConEd
10030,"(40.81843517604261, -73.94276530357587)",Small Residential,36967051,133081,ConEd
10031,"(40.82495420507257, -73.9501244360938)",Small Residential,76845339,276643,ConEd
10032,"(40.83693034905639, -73.94917852197119)",Small Residential,75302026,271087,ConEd
10033,"(40.85621992920642, -73.94585900019268)",Small Residential,67866288,244319,ConEd
10034,"(40.8706171092922, -73.9242232587963)",Small Residential,51556075,185602,ConEd
10035,"(40.79381703542788, -73.91931750020245)",Small Residential,33911129,122080,ConEd
10036,"(40.75934682719435, -73.989860554421)",Small Residential,51327087,184778,ConEd
10037,"(40.81329776108288, -73.93728252556804)",Small Residential,19809127,71313,ConEd
10038,"(40.70935929189784, -74.00307186237649)",Small Residential,19196890,69109,ConEd
10039,"(40.82668192862815, -73.93777090780111)",Small Residential,19530687,70310,ConEd
10040,"(40.85809553188335, -73.92925548994884)",Small Residential,52583973,189302,ConEd
10044,"(40.76197648622593, -73.94999967494499)",Small Residential,3731838,13435,ConEd
10065,"(40.76430121303059, -73.96303993544461)",Small Residential,98593458,354936,ConEd
10069,"(40.77825400032191, -73.98854199991331)",Small Residential,8435892,30369,ConEd
10075,"(40.77293949176419, -73.95609016263086)",Small Residential,74874786,269549,ConEd
10128,"(40.781770000585084, -73.95062814906976)",Small Residential,130500119,469800,ConEd
10280,"(40.709594512276965, -74.02022453553383)",Small Residential,12019885,43272,ConEd
10282,"(40.71961455706622, -74.01464928293802)",Small Residential,7993001,28775,ConEd
10301,"(40.62678550844453, -74.09611291088208)",Small Residential,75641375,272309,ConEd
10302,"(40.63083331110846, -74.13773429869889)",Small Residential,37866900,136321,ConEd
10303,"(40.633032309993155, -74.16834884981955)",Small Residential,47576409,171275,ConEd
10304,"(40.59122944258473, -74.1113280000871)",Small Residential,92016445,331259,ConEd
10305,"(40.596184688172855, -74.07507238488262)",Small Residential,92955059,334638,ConEd
10306,"(40.56602048965391, -74.11994566905736)",Small Residential,150198092,540713,ConEd
10307,"(40.508004527487, -74.24211428194849)",Small Residential,47525625,171092,ConEd
10308,"(40.552935295427574, -74.15130275981448)",Small Residential,80550091,289980,ConEd
10309,"(40.530393118347774, -74.21893861432557)",Small Residential,102857436,370287,ConEd
10310,"(40.632789000212256, -74.11645860538027)",Small Residential,51384434,184984,ConEd
10312,"(40.54295597733653, -74.18037681723627)",Small Residential,191851376,690665,ConEd
10314,"(40.59649030298516, -74.16599111879503)",Small Residential,223616160,805018,ConEd
10451,"(40.82069640711353, -73.92384136798472)",Small Residential,39260172,141337,ConEd
10452,"(40.83772426336412, -73.9233322114124)",Small Residential,96915677,348896,ConEd
10453,"(40.852786838341956, -73.91342678431863)",Small Residential,95875141,345151,ConEd
10454,"(40.805846930091775, -73.91628504651766)",Small Residential,23900431,86042,ConEd
10455,"(40.813535754971156, -73.9053552520432)",Small Residential,40506706,145824,ConEd
10456,"(40.8304366800088, -73.9077651995043)",Small Residential,86605990,311782,ConEd
10457,"(40.84579837129786, -73.89832418681175)",Small Residential,85697241,308510,ConEd
10458,"(40.86260132868841, -73.88479001504714)",Small Residential,101448870,365216,ConEd
10459,"(40.82552621616202, -73.89313106784448)",Small Residential,64002999,230411,ConEd
10460,"(40.84309034804119, -73.87860282506028)",Small Residential,65760974,236740,ConEd
10461,"(40.846960590359004, -73.840632836736)",Small Residential,83264125,299751,ConEd
10462,"(40.84225833665295, -73.85799663293824)",Small Residential,120631564,434274,ConEd
10463,"(40.88187196282087, -73.91120748054078)",Small Residential,89716500,322979,ConEd
10464,"(40.875709096797436, -73.81229725041771)",Small Residential,11508768,41432,ConEd
10465,"(40.827628067581315, -73.82241314135337)",Small Residential,82919505,298510,ConEd
10466,"(40.89080973018497, -73.84600906306775)",Small Residential,96370968,346935,ConEd
10467,"(40.8770479121315, -73.87153250082423)",Small Residential,118102101,425168,ConEd
10468,"(40.869693003729196, -73.89892699248668)",Small Residential,91937292,330974,ConEd
10469,"(40.86818180274804, -73.84656868779467)",Small Residential,102390736,368607,ConEd
10470,"(40.90012797192844, -73.8712277502604)",Small Residential,26231935,94435,ConEd
10471,"(40.90199442310421, -73.9036265005625)",Small Residential,38717293,139382,ConEd
10472,"(40.829730432513486, -73.87013213139272)",Small Residential,74096504,266747,ConEd
10473,"(40.81773147093071, -73.86053700008245)",Small Residential,57481325,206933,ConEd
10474,"(40.810882923108466, -73.88235636235618)",Small Residential,15015882,54057,ConEd
10475,"(40.874142343794176, -73.82706856556183)",Small Residential,6260154,22537,ConEd
11001,"(40.72139000494485, -73.70739692842545)",Small Residential,8477791,30520,ConEd
11004,"(40.74323783435864, -73.71201500019208)",Small Residential,26439247,95181,ConEd
11040,"(40.74529996182383, -73.6796319322678)",Small Residential,4350778,15663,ConEd
11101,"(40.74570244980828, -73.93866902925225)",Small Residential,31072970,111863,ConEd
11102,"(40.77152402451418, -73.92643545073543)",Small Residential,45202525,162729,ConEd
11103,"(40.76286893025696, -73.91327185810974)",Small Residential,56255697,202521,ConEd
11104,"(40.74489336663561, -73.92054134530679)",Small Residential,39406481,141863,ConEd
11105,"(40.780092072491186, -73.90960650023976)",Small Residential,60815941,218937,ConEd
11106,"(40.761699790013324, -73.9316632529567)",Small Residential,47879192,172365,ConEd
11109,"(40.744414792408804, -73.95770234668589)",Small Residential,8356488,30083,ConEd
11201,"(40.69467825879468, -73.98992086835335)",Small Residential,87278028,314201,ConEd
11202,"(40.69790600026175, -73.99134299957973)",Small Residential,12182,44,ConEd
11203,"(40.649721601170995, -73.93427608567276)",Small Residential,112215828,403977,ConEd
11204,"(40.619055848049015, -73.98479859887618)",Small Residential,137154871,493758,ConEd
11205,"(40.693882095282504, -73.96433450773128)",Small Residential,48571096,174856,ConEd
11206,"(40.70191201682616, -73.94237919854112)",Small Residential,76767833,276364,ConEd
11207,"(40.670802431187326, -73.89384115004901)",Small Residential,107808947,388112,ConEd
11208,"(40.67401318266229, -73.87206493005243)",Small Residential,106247716,382492,ConEd
11209,"(40.62338709723679, -74.03065295347096)",Small Residential,125309499,451114,ConEd
11210,"(40.62772226387142, -73.946537919989)",Small Residential,111948426,403014,ConEd
11211,"(40.711589765255496, -73.95817675075642)",Small Residential,153679593,553247,ConEd
11212,"(40.66279716995348, -73.91298489433734)",Small Residential,81563308,293628,ConEd
11213,"(40.67122516920625, -73.93644336636822)",Small Residential,94440306,339985,ConEd
11214,"(40.604011809897145, -74.0009690001192)",Small Residential,121255544,436520,ConEd
11215,"(40.665557251366124, -73.97968153557434)",Small Residential,122608544,441391,ConEd
11216,"(40.680758670876, -73.94926775090596)",Small Residential,78549197,282777,ConEd
11217,"(40.68231210132245, -73.97956718857483)",Small Residential,56433375,203160,ConEd
11218,"(40.64322700851966, -73.9764486221062)",Small Residential,116492616,419373,ConEd
11219,"(40.63277295540763, -73.99667681118586)",Small Residential,157978317,568722,ConEd
11220,"(40.641184928741495, -74.01676472671073)",Small Residential,108263083,389747,ConEd
11221,"(40.69128803951145, -73.92761792792498)",Small Residential,107302184,386288,ConEd
11222,"(40.72825312178418, -73.94715978319738)",Small Residential,58391998,210211,ConEd
11223,"(40.596939623165156, -73.97331147204676)",Small Residential,131102187,471968,ConEd
11224,"(40.576304656334855, -73.99953200040147)",Small Residential,21224198,76407,ConEd
11225,"(40.66317005855143, -73.95370110911887)",Small Residential,83047681,298972,ConEd
11226,"(40.64650500230408, -73.9571900991437)",Small Residential,141772704,510382,ConEd
11228,"(40.61654071408276, -74.0132778473947)",Small Residential,75534982,271926,ConEd
11229,"(40.60123350732056, -73.94436854117521)",Small Residential,137695694,495705,ConEd
11230,"(40.62192951023877, -73.96551106018723)",Small Residential,160999681,579599,ConEd
11231,"(40.6775543117821, -74.00467670436637)",Small Residential,53608873,192992,ConEd
11232,"(40.65451161701759, -74.00003392912248)",Small Residential,31058308,111810,ConEd
11233,"(40.67813043816926, -73.91977647550391)",Small Residential,84560116,304416,ConEd
11234,"(40.61636866748006, -73.92773224974349)",Small Residential,180693106,650495,ConEd
11235,"(40.57841410882412, -73.94026000009887)",Small Residential,126483673,455341,ConEd
11236,"(40.64002149379695, -73.90112193992553)",Small Residential,140665867,506397,ConEd
11237,"(40.704095739826585, -73.92099423399668)",Small Residential,56829174,204585,ConEd
11238,"(40.67886241346963, -73.9638204696389)",Small Residential,79939367,287782,ConEd
11239,"(40.64949607998017, -73.8655249998788)",Small Residential,3668967,13208,ConEd
11354,"(40.76862022064671, -73.82719028070687)",Small Residential,68984850,248345,ConEd
11355,"(40.7512997969481, -73.82147854789662)",Small Residential,106384603,382985,ConEd
11356,"(40.7849280967543, -73.84181070040347)",Small Residential,40151496,144545,ConEd
11357,"(40.78628404147537, -73.81123206101074)",Small Residential,90597002,326149,ConEd
11358,"(40.760350968822195, -73.79632645819947)",Small Residential,74559236,268413,ConEd
11360,"(40.78070133439911, -73.78226733686807)",Small Residential,36046664,129768,ConEd
11361,"(40.76418884813688, -73.77232552860022)",Small Residential,57612630,207405,ConEd
11362,"(40.759074216601846, -73.73430017711144)",Small Residential,35266836,126961,ConEd
11363,"(40.772398418252465, -73.74679788741253)",Small Residential,18447486,66411,ConEd
11364,"(40.745924680379744, -73.75790275560763)",Small Residential,70801341,254885,ConEd
11365,"(40.73987184371066, -73.79462153515567)",Small Residential,55253990,198914,ConEd
11366,"(40.72816440726166, -73.79226817393703)",Small Residential,28616996,103021,ConEd
11367,"(40.730323085042414, -73.82610630716033)",Small Residential,60002718,216010,ConEd
11368,"(40.749678220373596, -73.85304068857687)",Small Residential,119263795,429350,ConEd
11369,"(40.76341327370369, -73.8723788986672)",Small Residential,47678727,171643,ConEd
11370,"(40.75935377085989, -73.89184400040028)",Small Residential,42992927,154775,ConEd
11372,"(40.75163073936716, -73.88361254528269)",Small Residential,81863310,294708,ConEd
11373,"(40.73871040256307, -73.87835115518163)",Small Residential,118288308,425838,ConEd
11374,"(40.72646491702238, -73.86148084756303)",Small Residential,60100098,216360,ConEd
11375,"(40.720707263029794, -73.84628429608335)",Small Residential,112865862,406317,ConEd
11377,"(40.74519376448069, -73.9048471440804)",Small Residential,99560659,358418,ConEd
11378,"(40.72145310497689, -73.90854350068196)",Small Residential,59838373,215418,ConEd
11379,"(40.71679766547993, -73.87933421310339)",Small Residential,70825078,254970,ConEd
11385,"(40.70122489161548, -73.88334858436963)",Small Residential,148742059,535471,ConEd
11411,"(40.694293339066405, -73.73568329125084)",Small Residential,38114951,137214,ConEd
11412,"(40.69812711747255, -73.75923519834566)",Small Residential,64137973,230897,ConEd
11413,"(40.66971118122609, -73.75087393328533)",Small Residential,74426707,267936,ConEd
11414,"(40.65817022817356, -73.84496263981396)",Small Residential,62294195,224259,ConEd
11415,"(40.708286075142325, -73.82855612156771)",Small Residential,30205372,108739,ConEd
11416,"(40.68457809700163, -73.8496016684822)",Small Residential,33326155,119974,ConEd
11417,"(40.6763637308016, -73.84454275534387)",Small Residential,47639380,171502,ConEd
11418,"(40.69637041236467, -73.84031024991805)",Small Residential,51891054,186808,ConEd
11419,"(40.68871379040917, -73.82288833053201)",Small Residential,61671534,222018,ConEd
11420,"(40.67334524268887, -73.81770717164864)",Small Residential,69340514,249626,ConEd
11421,"(40.69176458756573, -73.85702228584978)",Small Residential,53859294,193893,ConEd
11422,"(40.66161349396765, -73.736051726406)",Small Residential,56833117,204599,ConEd
11423,"(40.71722229567246, -73.7671414999802)",Small Residential,49210967,177159,ConEd
11426,"(40.73704138495202, -73.72415699894628)",Small Residential,34892195,125612,ConEd
11427,"(40.72931057432362, -73.75067602128132)",Small Residential,38424917,138330,ConEd
11428,"(40.721396964798146, -73.74193729726841)",Small Residential,31487643,113356,ConEd
11429,"(40.70991312049415, -73.73864031609764)",Small Residential,42545463,153164,ConEd
11432,"(40.71311535449007, -73.79282099978928)",Small Residential,87909689,316475,ConEd
11433,"(40.698104881734935, -73.7875740339145)",Small Residential,45273728,162985,ConEd
11434,"(40.6769452621142, -73.77530690169215)",Small Residential,79767242,287162,ConEd
11435,"(40.70119264912154, -73.80979665579099)",Small Residential,73605803,264981,ConEd
11436,"(40.67571820912809, -73.79646501494847)",Small Residential,30315336,109135,ConEd
11693,"(40.6183036047276, -73.82495531523557)",Small Residential,6357915,22888,ConEd
10001,"(40.75025902143676, -73.99688630375988)",Small Residential,530068,1908,ConEd
10002,"(40.71612146793143, -73.98583147024613)",Small Residential,520573,1874,ConEd
10003,"(40.73194394755518, -73.98887214913032)",Small Residential,2328025,8381,ConEd
10004,"(40.688827825343935, -74.01911250583743)",Small Residential,144914,522,ConEd
10005,"(40.7061257920717, -74.00858468583453)",Small Residential,53083,191,ConEd
10006,"(40.70825614030866, -74.01355356964149)",Small Residential,25360,91,ConEd
10007,"(40.71363051943297, -74.00913138370635)",Small Residential,85208,307,ConEd
10009,"(40.72664935898081, -73.97911148500697)",Small Residential,383420,1380,ConEd
10010,"(40.73914078212147, -73.98289845639863)",Small Residential,880807,3171,ConEd
10011,"(40.74471526669623, -74.00460000028977)",Small Residential,2747778,9892,ConEd
10012,"(40.72553802086304, -73.99789641059084)",Small Residential,653221,2352,ConEd
10013,"(40.721242188776046, -74.00888900022716)",Small Residential,1046166,3766,ConEd
10014,"(40.73358645135369, -74.01019960472792)",Small Residential,1578178,5681,ConEd
10016,"(40.745242969987146, -73.97823298586354)",Small Residential,1152119,4148,ConEd
10017,"(40.75245652744684, -73.97297648087982)",Small Residential,194708,701,ConEd
10018,"(40.756840774582145, -73.99669149981281)",Small Residential,182830,658,ConEd
10019,"(40.76761164715987, -73.99180550022362)",Small Residential,669195,2409,ConEd
10021,"(40.76920532766377, -73.959183941086)",Small Residential,727741,2620,ConEd
10022,"(40.758630224005685, -73.96809182217982)",Small Residential,919268,3309,ConEd
10023,"(40.774536138232236, -73.97994335610099)",Small Residential,2081708,7494,ConEd
10024,"(40.78362556816552, -73.96653900057436)",Small Residential,4712623,16965,ConEd
10025,"(40.79685012763133, -73.96372581059762)",Small Residential,1277577,4599,ConEd
10026,"(40.80305812163505, -73.95334277604826)",Small Residential,27041,97,ConEd
10027,"(40.811549564460904, -73.95290033568193)",Small Residential,176733,636,ConEd
10028,"(40.776344978837756, -73.95296667956859)",Small Residential,2215874,7977,ConEd
10029,"(40.79161072055837, -73.94403228106489)",Small Residential,84530,304,ConEd
10030,"(40.81843517604261, -73.94276530357587)",Small Residential,11303,41,ConEd
10031,"(40.82495420507257, -73.9501244360938)",Small Residential,119385,430,ConEd
10032,"(40.83693034905639, -73.94917852197119)",Small Residential,87908,316,ConEd
10033,"(40.85621992920642, -73.94585900019268)",Small Residential,1148564,4135,ConEd
10034,"(40.8706171092922, -73.9242232587963)",Small Residential,20022,72,ConEd
10035,"(40.79381703542788, -73.91931750020245)",Small Residential,148945,536,ConEd
10036,"(40.75934682719435, -73.989860554421)",Small Residential,428453,1542,ConEd
10037,"(40.81329776108288, -73.93728252556804)",Small Residential,14342,52,ConEd
10038,"(40.70935929189784, -74.00307186237649)",Small Residential,102485,369,ConEd
10040,"(40.85809553188335, -73.92925548994884)",Small Residential,26272,95,ConEd
10044,"(40.76197648622593, -73.94999967494499)",Small Residential,8559,31,ConEd
10065,"(40.76430121303059, -73.96303993544461)",Small Residential,1197597,4311,ConEd
10069,"(40.77825400032191, -73.98854199991331)",Small Residential,24169,87,ConEd
10075,"(40.77293949176419, -73.95609016263086)",Small Residential,416611,1500,ConEd
10128,"(40.781770000585084, -73.95062814906976)",Small Residential,4632771,16678,ConEd
10280,"(40.709594512276965, -74.02022453553383)",Small Residential,4588,17,ConEd
10282,"(40.71961455706622, -74.01464928293802)",Small Residential,4753,17,ConEd
