"Date","ECB balance sheet"
"3/6/2015","2.13"
"3/13/2015","2.14"
"3/20/2015","2.16"
"3/27/2015","2.25"
"4/3/2015","2.33"
"4/10/2015","2.35"
"4/17/2015","2.34"
"4/24/2015","2.36"
"5/1/2015","2.37"
"5/8/2015","2.38"
"5/15/2015","2.39"
"5/22/2015","2.40"
"5/29/2015","2.42"
"6/5/2015","2.43"
"6/12/2015","2.44"
"6/19/2015","2.45"
