Sort,Dates,"Average Number of Operators, Mon-Fri, (7:00AM-3:00PM) ","Average Number of Operators, Mon-Fri, (3:00PM-11:00PM) ","Average Number of Operators, Mon-Fri, (11:00PM-7:00AM) ","Average Number of Operators, Sat-Sun, (7:00AM-3:00PM) ","Average Number of Operators, Sat-Sun, (3:00PM-11:00PM) ","Average Number of Operators, Sat-Sun, (11:00PM-7:00AM) ",Call Volume (7:00AM-3:00PM) ,Call Volume (3:00PM-11:00PM) ,Call Volume (11:00PM-7:00AM) ,Efficiency (7:00AM-3:00PM) ,Efficiency (3:00PM-11:00PM) ,Efficiency (11:00PM-7:00AM) ,Utilization (7:00AM-3:00PM) ,Utilization (3:00PM-11:00PM) ,Utilization (11:00PM-7:00AM) ,Abandoned (7:00AM-3:00PM) ,Abandoned (3:00PM-11:00PM) ,Abandoned (11:00PM-7:00AM) ,Average Wait Time (seconds): 7:00AM-3:00PM,Average Wait Time (seconds): 3:00PM-11:00PM,Average Wait Time (seconds): 11:00PM-7:00AM
149,03/31/14-04/06/14,22,9,3,13,8,2,41792,24358,4119,86%,88%,95%,77%,71%,37%,18%,16%,6%,75,46,4
150,04/07/14-04/13/14,22,9,2,14,9,3,43335,24917,4328,89%,89%,93%,78%,69%,44%,13%,14%,9%,50,38,8
151,04/14/14-04/20/14,21,9,3,14,7,2,39739,23603,3808,87%,90%,94%,74%,71%,42%,15%,12%,8%,60,31,6
152,04/21/14-04/27/14,21,8,2,13,9,3,43422,25990,3740,84%,90%,94%,79%,69%,39%,18%,14%,7%,73,41,6
153,04/28/14-05/04/14,21,10,3,15,9,2,41594,24857,4113,84%,92%,94%,77%,72%,41%,17%,10%,8%,72,20,8
154,05/05/14-05/11/14,18,9,3,14,5,2,44611,29428,4767,69%,87%,93%,77%,75%,44%,28%,17%,8%,131,48,9
155,05/12/14-05/18/14,21,9,2,15,7,4,45766,29371,4705,77%,89%,92%,76%,73%,41%,20%,15%,11%,92,38,12
156,05/19/14-05/25/14,21,9,3,14,9,3,47213,29852,4821,85%,90%,92%,80%,74%,47%,18%,13%,10%,76,32,10
157,05/26/14-06/01/14,22,9,3,15,8,3,44436,29533,5301,83%,91%,92%,73%,73%,48%,18%,12%,10%,80,27,12
158,06/02/14-0608/14,22,9,3,12,7,3,49594,32030,5225,73%,83%,94%,80%,74%,46%,24%,19%,8%,109,63,9
